"key","year","type","emailed","downloaded","reply_received","data_sent","data_available","n_results","data_complete","analysis_clear","reproduced","code_available"
1,2014,"human observational  ",TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA
2,2016,"human experimental  ",FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
3,1996,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
4,2016,"nonhuman experimental  ",TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
5,2013,"nonhuman observational  ",TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
6,2001,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
7,2005,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
8,1987,"nonhuman experimental  ",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
9,2012,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
10,2013,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
11,2015,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
12,2015,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
13,2017,"nonhuman experimental  ",FALSE,TRUE,FALSE,FALSE,TRUE,3,2,2,2,1
14,1998,"human experimental  ",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
15,2012,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,4,2,2,0,0
16,2013,"nonhuman experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,3,3,3,3,0
17,2014,"nonhuman experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,4,4,4,4,0
18,1994,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
19,1999,"nonhuman observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
20,2001,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
21,2017,"nonhuman experimental  ",FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
22,2002,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
23,2012,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
24,2015,"nonhuman experimental  ",TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
25,2004,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
26,2011,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
27,2014,"human observational  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
28,1998,"nonhuman observational  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
29,2015,"human observational  ",TRUE,FALSE,TRUE,TRUE,TRUE,2,2,2,2,1
30,1997,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
31,1998,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
32,2002,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
33,2015,"human experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA
34,2002,"human observational  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
35,2003,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
36,2005,"human observational  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
37,1991,"nonhuman observational  ",FALSE,TRUE,FALSE,FALSE,TRUE,3,3,3,3,0
38,2003,"nonhuman observational  ",TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
39,2006,"nonhuman observational  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
40,2007,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
41,2007,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
42,2008,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
43,2014,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
44,2007,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
