"key","year","data_type","species","id","emailed","reason_no_email","downloaded","reply_received","undelivered","auto","data_sent","data_available"
1,2014,"observational","human",4,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2,2016,"experimental","human",4,FALSE,"materials available",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3,1996,"experimental","nonhuman",127,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,2016,"experimental","nonhuman",328,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5,2013,"observational","nonhuman",163,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6,2001,"experimental","nonhuman",97,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
7,2005,"experimental","nonhuman",148,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,1987,"experimental","nonhuman",249,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,2012,"experimental","nonhuman",213,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,2013,"experimental","nonhuman",213,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
11,2015,"experimental","nonhuman",213,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
12,2015,"experimental","nonhuman",213,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,2017,"experimental","nonhuman",213,FALSE,"materials available",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
14,1998,"experimental","human",158,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,2012,"experimental","human",77,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
16,2013,"experimental","nonhuman",8,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
17,2014,"experimental","nonhuman",8,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
18,1994,"experimental","nonhuman",244,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,1999,"observational","nonhuman",154,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
20,2001,"experimental","human",181,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
21,2017,"experimental","nonhuman",41,FALSE,"materials available",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
22,2002,"experimental","nonhuman",212,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,2012,"experimental","nonhuman",228,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,2015,"experimental","nonhuman",228,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
25,2004,"experimental","human",362,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
26,2011,"experimental","human",312,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
27,2014,"observational","human",42,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
28,1998,"observational","nonhuman",95,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,2015,"observational","human",3,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
30,1997,"experimental","nonhuman",34,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
31,1998,"experimental","nonhuman",34,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
32,2002,"experimental","nonhuman",69,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33,2015,"experimental","human",287,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
34,2002,"observational","human",286,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,2003,"experimental","nonhuman",93,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,2005,"observational","human",170,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,1991,"observational","nonhuman",68,FALSE,"materials available",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
38,2003,"observational","nonhuman",324,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
39,2006,"observational","nonhuman",195,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,2007,"experimental","nonhuman",195,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,2007,"experimental","nonhuman",195,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,2008,"experimental","nonhuman",257,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43,2014,"experimental","nonhuman",257,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44,2007,"experimental","nonhuman",177,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
45,2016,"observational","human",1,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
46,2016,"observational","human",1,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
47,2017,"observational","human",1,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
48,1996,"experimental","nonhuman",319,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
49,1999,"experimental","nonhuman",293,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
50,2003,"experimental","nonhuman",308,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
51,2002,"experimental","nonhuman",76,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
52,2005,"experimental","nonhuman",130,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,2007,"experimental","human",12,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
54,1997,"experimental","nonhuman",341,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,2002,"experimental","nonhuman",341,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
56,2016,"experimental","human",115,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
57,2009,"experimental","nonhuman",176,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
58,1993,"observational","nonhuman",290,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
59,2010,"experimental","nonhuman",265,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,2003,"experimental","nonhuman",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
61,2009,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
62,2010,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
63,2010,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
64,2012,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
65,2012,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
66,2014,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
67,2017,"experimental","human",63,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
68,1994,"experimental","nonhuman",173,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
69,2005,"experimental","human",173,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
70,1981,"experimental","nonhuman",149,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,1997,"observational","nonhuman",272,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
72,1995,"experimental","human",225,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
73,1998,"experimental","human",225,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
74,2015,"experimental","human",189,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,1992,"experimental","nonhuman",204,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,2012,"experimental","human",224,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
77,2012,"experimental","human",263,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
78,2013,"experimental","nonhuman",263,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79,2014,"experimental","nonhuman",263,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
80,2010,"observational","nonhuman",147,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,2002,"experimental","nonhuman",329,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,2015,"observational","nonhuman",46,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,1988,"experimental","nonhuman",326,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,2014,"experimental","human",162,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
85,2003,"experimental","nonhuman",145,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
86,2005,"experimental","nonhuman",145,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,2005,"experimental","nonhuman",145,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
88,2009,"experimental","human",187,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,2010,"experimental","human",187,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,2007,"experimental","nonhuman",180,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
91,2016,"observational","human",10,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
92,1978,"experimental","nonhuman",100,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
93,1978,"experimental","nonhuman",100,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
94,1988,"experimental","nonhuman",100,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
95,1999,"experimental","nonhuman",88,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,2001,"experimental","nonhuman",88,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,2011,"experimental","human",261,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
98,2014,"experimental","human",261,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
99,2004,"experimental","nonhuman",259,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100,2009,"experimental","nonhuman",259,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
101,2016,"experimental","nonhuman",309,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
102,1965,"experimental","nonhuman",36,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,2001,"experimental","nonhuman",281,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,2003,"experimental","nonhuman",281,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,1999,"experimental","nonhuman",339,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,2012,"experimental","nonhuman",203,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,2012,"observational","human",188,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
108,1988,"experimental","nonhuman",223,FALSE,"author dead",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,2012,"experimental","human",238,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
110,2014,"experimental","human",238,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
111,2015,"experimental","human",238,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
112,2015,"experimental","human",238,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
113,2016,"experimental","human",238,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
114,2013,"experimental","human",260,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
115,2008,"experimental","nonhuman",227,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
116,2009,"experimental","nonhuman",227,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
117,2011,"experimental","nonhuman",227,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
118,2016,"observational","human",306,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
119,2008,"experimental","human",47,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
120,2002,"experimental","nonhuman",37,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
121,1996,"experimental","nonhuman",50,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
122,2001,"experimental","nonhuman",43,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,2004,"experimental","nonhuman",320,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,1999,"experimental","nonhuman",66,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
125,2008,"experimental","nonhuman",91,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,2009,"experimental","nonhuman",132,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
127,1992,"experimental","nonhuman",201,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,1992,"experimental","nonhuman",201,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,1993,"experimental","nonhuman",201,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,2007,"experimental","human",52,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
131,2007,"experimental","human",55,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,2008,"experimental","human",55,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,2009,"experimental","nonhuman",21,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134,2011,"experimental","nonhuman",21,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,2012,"experimental","human",193,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
136,2014,"experimental","human",193,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
137,2010,"observational","nonhuman",275,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138,2006,"experimental","human",192,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
139,2017,"experimental","nonhuman",208,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
140,2005,"experimental","nonhuman",359,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141,2015,"experimental","nonhuman",79,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
142,2015,"experimental","nonhuman",79,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
143,2002,"experimental","nonhuman",348,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
144,2010,"experimental","human",264,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
145,2009,"experimental","nonhuman",269,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
146,2008,"experimental","nonhuman",237,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147,1992,"experimental","nonhuman",133,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
148,2008,"experimental","human",116,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
149,2008,"experimental","human",116,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150,2008,"experimental","human",116,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
151,2010,"experimental","human",116,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152,2012,"experimental","human",116,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,2016,"experimental","human",116,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154,2016,"observational","human",139,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155,1997,"experimental","nonhuman",94,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
156,2013,"observational","nonhuman",94,FALSE,"materials available",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
157,2017,"observational","nonhuman",94,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
158,2006,"experimental","nonhuman",267,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
159,2008,"experimental","nonhuman",333,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160,1996,"experimental","nonhuman",350,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
161,1998,"experimental","nonhuman",350,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
